transaction_id,amount,location,device_type,time,merchant_category,fraud_flag,ai_fraud_reason
314,6574.76,Hyderabad,Tablet,2024-06-28 22:47:00,Electronics,-1,⚠️ High transaction amount; 📱 Less secure device type; 🛒 Sensitive merchant category
325,6196.21,Hyderabad,Desktop,2024-06-27 05:54:00,Clothing,-1,⚠️ High transaction amount
359,5634.51,Mumbai,Desktop,2024-04-26 23:51:00,Grocery,-1,⚠️ High transaction amount; 📍 High-risk location; 🌙 Unusual transaction time
367,6498.18,Mumbai,Mobile,2024-01-17 20:18:00,Utilities,-1,⚠️ High transaction amount; 📍 High-risk location; 📱 Less secure device type
391,9314.01,Kolkata,Tablet,2024-03-19 00:00:00,Clothing,-1,⚠️ High transaction amount; 📱 Less secure device type; 🌙 Unusual transaction time
412,5993.94,Kolkata,Tablet,2024-12-22 07:52:00,Clothing,-1,⚠️ High transaction amount; 📱 Less secure device type
413,6015.9,Kolkata,Mobile,2024-11-12 17:34:00,Electronics,-1,⚠️ High transaction amount; 📱 Less secure device type; 🛒 Sensitive merchant category
442,8630.92,Chennai,Tablet,2024-08-04 16:05:00,Travel,-1,⚠️ High transaction amount; 📱 Less secure device type; 🛒 Sensitive merchant category
447,8537.55,Chennai,Desktop,2024-10-29 19:12:00,Clothing,-1,⚠️ High transaction amount
465,6549.44,Mumbai,Tablet,2024-11-26 17:23:00,Utilities,-1,⚠️ High transaction amount; 📍 High-risk location; 📱 Less secure device type; 🌙 Unusual transaction time
470,6605.74,Hyderabad,Mobile,2024-03-31 18:04:00,Electronics,-1,⚠️ High transaction amount; 📱 Less secure device type; 🛒 Sensitive merchant category
472,7005.05,Bangalore,Tablet,2024-02-16 11:32:00,Clothing,-1,⚠️ High transaction amount; 📱 Less secure device type
476,9913.66,Bangalore,Desktop,2024-06-28 15:51:00,Clothing,-1,⚠️ High transaction amount
479,6967.15,Chennai,Tablet,2024-07-16 17:03:00,Travel,-1,⚠️ High transaction amount; 📱 Less secure device type; 🛒 Sensitive merchant category
489,6007.99,Mumbai,Desktop,2024-04-01 15:02:00,Grocery,-1,⚠️ High transaction amount; 📍 High-risk location
499,7329.92,Mumbai,Tablet,2024-06-20 22:33:00,Electronics,-1,⚠️ High transaction amount; 📍 High-risk location; 📱 Less secure device type; 🛒 Sensitive merchant category
500,8567.73,Chennai,Mobile,2024-02-14 03:38:00,Clothing,-1,⚠️ High transaction amount; 📱 Less secure device type
519,8728.55,Delhi,Mobile,2024-12-07 23:51:00,Electronics,-1,⚠️ High transaction amount; 📍 High-risk location; 📱 Less secure device type; 🛒 Sensitive merchant category; 🌙 Unusual transaction time
523,7007.42,Bangalore,Desktop,2024-02-13 09:48:00,Electronics,-1,⚠️ High transaction amount; 🛒 Sensitive merchant category
532,16344.89,Mumbai,Mobile,2024-08-25 10:48:00,Electronics,-1,⚠️ High transaction amount; 📍 High-risk location; 📱 Less secure device type; 🛒 Sensitive merchant category
533,11389.75,Chennai,Desktop,2024-02-13 13:04:00,Grocery,-1,⚠️ High transaction amount
541,6160.45,Chennai,Tablet,2024-10-26 23:31:00,Electronics,-1,⚠️ High transaction amount; 📱 Less secure device type; 🛒 Sensitive merchant category; 🌙 Unusual transaction time
582,7827.31,Hyderabad,Tablet,2024-12-17 15:39:00,Travel,-1,⚠️ High transaction amount; 📱 Less secure device type; 🛒 Sensitive merchant category
662,8612.39,Chennai,Desktop,2024-04-02 06:16:00,Clothing,-1,⚠️ High transaction amount
676,8077.28,Mumbai,Mobile,2024-02-23 20:04:00,Grocery,-1,⚠️ High transaction amount; 📍 High-risk location; 📱 Less secure device type
679,6978.12,Chennai,Mobile,2024-06-06 13:06:00,Utilities,-1,⚠️ High transaction amount; 📱 Less secure device type
706,9202.4,Chennai,Mobile,2024-02-11 19:27:00,Utilities,-1,⚠️ High transaction amount; 📱 Less secure device type
718,6706.35,Mumbai,Tablet,2024-08-23 04:56:00,Electronics,-1,⚠️ High transaction amount; 📍 High-risk location; 📱 Less secure device type; 🛒 Sensitive merchant category
811,8378.35,Kolkata,Tablet,2024-04-30 04:58:00,Utilities,-1,⚠️ High transaction amount; 📱 Less secure device type
844,6492.0,Mumbai,Mobile,2024-08-15 02:37:00,Electronics,-1,⚠️ High transaction amount; 📍 High-risk location; 📱 Less secure device type; 🛒 Sensitive merchant category
848,11536.16,Chennai,Desktop,2024-09-24 06:55:00,Electronics,-1,⚠️ High transaction amount; 🛒 Sensitive merchant category
933,8321.25,Chennai,Mobile,2024-11-09 00:49:00,Travel,-1,⚠️ High transaction amount; 📱 Less secure device type; 🛒 Sensitive merchant category; 🌙 Unusual transaction time
999,6000.98,Chennai,Tablet,2024-09-01 10:59:00,Utilities,-1,⚠️ High transaction amount; 📱 Less secure device type
1012,8791.12,Kolkata,Desktop,2024-04-26 21:42:00,Clothing,-1,⚠️ High transaction amount
1024,7084.94,Kolkata,Tablet,2024-08-11 20:33:00,Grocery,-1,⚠️ High transaction amount; 📱 Less secure device type
1055,12364.39,Bangalore,Mobile,2024-07-11 02:55:00,Travel,-1,⚠️ High transaction amount; 📱 Less secure device type; 🛒 Sensitive merchant category
1062,8280.79,Hyderabad,Mobile,2024-04-04 19:46:00,Grocery,-1,⚠️ High transaction amount; 📱 Less secure device type
1075,8799.96,Bangalore,Desktop,2024-11-04 04:59:00,Travel,-1,⚠️ High transaction amount; 🛒 Sensitive merchant category
1089,9458.89,Delhi,Mobile,2024-09-09 22:57:00,Travel,-1,⚠️ High transaction amount; 📍 High-risk location; 📱 Less secure device type; 🛒 Sensitive merchant category
1102,6954.17,Kolkata,Desktop,2024-11-06 13:13:00,Clothing,-1,⚠️ High transaction amount
1105,10560.1,Hyderabad,Mobile,2024-11-24 18:05:00,Grocery,-1,⚠️ High transaction amount; 📱 Less secure device type
1122,6231.35,Delhi,Tablet,2024-05-14 05:10:00,Clothing,-1,⚠️ High transaction amount; 📍 High-risk location; 📱 Less secure device type
1172,7946.33,Bangalore,Mobile,2024-03-19 06:59:00,Clothing,-1,⚠️ High transaction amount; 📱 Less secure device type
1181,6593.24,Kolkata,Mobile,2024-04-15 02:40:00,Utilities,-1,⚠️ High transaction amount; 📱 Less secure device type
1197,7260.39,Kolkata,Desktop,2024-09-03 20:06:00,Grocery,-1,⚠️ High transaction amount
1198,6939.67,Bangalore,Mobile,2024-07-17 11:40:00,Clothing,-1,⚠️ High transaction amount; 📱 Less secure device type
1210,11703.06,Mumbai,Desktop,2024-09-21 09:08:00,Travel,-1,⚠️ High transaction amount; 📍 High-risk location; 🛒 Sensitive merchant category
1221,6026.31,Bangalore,Desktop,2024-09-28 18:10:00,Clothing,-1,⚠️ High transaction amount
1229,8267.54,Chennai,Mobile,2024-12-04 02:32:00,Clothing,-1,⚠️ High transaction amount; 📱 Less secure device type
1239,6896.16,Chennai,Mobile,2024-06-04 07:46:00,Utilities,-1,⚠️ High transaction amount; 📱 Less secure device type
1278,8634.37,Delhi,Tablet,2024-09-01 07:46:00,Electronics,-1,⚠️ High transaction amount; 📍 High-risk location; 📱 Less secure device type; 🛒 Sensitive merchant category
1325,7448.21,Chennai,Mobile,2024-04-04 06:54:00,Clothing,-1,⚠️ High transaction amount; 📱 Less secure device type
1334,11217.26,Mumbai,Desktop,2024-06-17 23:18:00,Travel,-1,⚠️ High transaction amount; 📍 High-risk location; 🛒 Sensitive merchant category; 🌙 Unusual transaction time
1335,7361.28,Bangalore,Tablet,2024-11-29 15:39:00,Clothing,-1,⚠️ High transaction amount; 📱 Less secure device type
1349,8788.13,Bangalore,Desktop,2024-08-14 16:53:00,Travel,-1,⚠️ High transaction amount; 🛒 Sensitive merchant category
1371,7108.35,Chennai,Mobile,2024-12-15 09:36:00,Utilities,-1,⚠️ High transaction amount; 📱 Less secure device type
1383,6974.32,Hyderabad,Mobile,2024-07-02 20:29:00,Travel,-1,⚠️ High transaction amount; 📱 Less secure device type; 🛒 Sensitive merchant category
1389,7001.22,Bangalore,Desktop,2024-08-25 23:18:00,Grocery,-1,⚠️ High transaction amount; 🌙 Unusual transaction time
1425,8629.5,Delhi,Mobile,2024-09-26 01:17:00,Grocery,-1,⚠️ High transaction amount; 📍 High-risk location; 📱 Less secure device type
1426,6711.61,Mumbai,Tablet,2024-05-27 10:18:00,Electronics,-1,⚠️ High transaction amount; 📍 High-risk location; 📱 Less secure device type; 🛒 Sensitive merchant category
1428,6065.28,Kolkata,Desktop,2024-11-28 03:34:00,Grocery,-1,⚠️ High transaction amount
1441,7007.26,Delhi,Mobile,2024-11-17 14:35:00,Electronics,-1,⚠️ High transaction amount; 📍 High-risk location; 📱 Less secure device type; 🛒 Sensitive merchant category
1465,14883.45,Bangalore,Tablet,2024-11-02 14:29:00,Electronics,-1,⚠️ High transaction amount; 📱 Less secure device type; 🛒 Sensitive merchant category
1467,7559.73,Delhi,Mobile,2024-07-13 02:04:00,Clothing,-1,⚠️ High transaction amount; 📍 High-risk location; 📱 Less secure device type
1513,6225.6,Hyderabad,Mobile,2024-07-04 09:40:00,Electronics,-1,⚠️ High transaction amount; 📱 Less secure device type; 🛒 Sensitive merchant category
1545,6589.73,Mumbai,Mobile,2024-12-13 13:03:00,Utilities,-1,⚠️ High transaction amount; 📍 High-risk location; 📱 Less secure device type
1551,6048.4,Hyderabad,Tablet,2024-01-02 07:32:00,Travel,-1,⚠️ High transaction amount; 📱 Less secure device type; 🛒 Sensitive merchant category
1585,8810.27,Bangalore,Desktop,2024-06-20 06:28:00,Grocery,-1,⚠️ High transaction amount
1592,9478.77,Mumbai,Tablet,2024-11-17 00:50:00,Clothing,-1,⚠️ High transaction amount; 📍 High-risk location; 📱 Less secure device type; 🌙 Unusual transaction time
1617,10278.99,Mumbai,Tablet,2024-10-30 16:12:00,Utilities,-1,⚠️ High transaction amount; 📍 High-risk location; 📱 Less secure device type
1624,6322.41,Bangalore,Desktop,2024-02-29 22:28:00,Travel,-1,⚠️ High transaction amount; 🛒 Sensitive merchant category
1639,9781.31,Hyderabad,Desktop,2024-04-03 10:50:00,Travel,-1,⚠️ High transaction amount; 🛒 Sensitive merchant category
1665,9696.53,Kolkata,Tablet,2024-03-05 02:30:00,Electronics,-1,⚠️ High transaction amount; 📱 Less secure device type; 🛒 Sensitive merchant category
1682,7427.18,Kolkata,Mobile,2024-07-29 12:19:00,Electronics,-1,⚠️ High transaction amount; 📱 Less secure device type; 🛒 Sensitive merchant category
1699,6599.91,Mumbai,Desktop,2024-02-13 07:08:00,Travel,-1,⚠️ High transaction amount; 📍 High-risk location; 🛒 Sensitive merchant category
1701,6752.36,Kolkata,Desktop,2024-05-25 03:12:00,Utilities,-1,⚠️ High transaction amount
1716,10543.86,Bangalore,Mobile,2024-03-07 10:36:00,Grocery,-1,⚠️ High transaction amount; 📱 Less secure device type
1719,8230.6,Mumbai,Mobile,2024-11-06 19:20:00,Clothing,-1,⚠️ High transaction amount; 📍 High-risk location; 📱 Less secure device type
1728,11425.76,Bangalore,Mobile,2024-10-31 11:12:00,Clothing,-1,⚠️ High transaction amount; 📱 Less secure device type
1755,7448.91,Kolkata,Mobile,2024-04-24 06:10:00,Electronics,-1,⚠️ High transaction amount; 📱 Less secure device type; 🛒 Sensitive merchant category
1757,6416.7,Hyderabad,Mobile,2024-08-05 04:40:00,Utilities,-1,⚠️ High transaction amount; 📱 Less secure device type
1774,6217.12,Bangalore,Desktop,2024-02-28 00:22:00,Grocery,-1,⚠️ High transaction amount; 🌙 Unusual transaction time
1801,6270.05,Mumbai,Tablet,2024-05-25 16:39:00,Travel,-1,⚠️ High transaction amount; 📍 High-risk location; 📱 Less secure device type; 🛒 Sensitive merchant category
1816,6875.31,Mumbai,Desktop,2024-08-13 02:52:00,Travel,-1,⚠️ High transaction amount; 📍 High-risk location; 🛒 Sensitive merchant category
1828,6914.82,Delhi,Desktop,2024-12-12 14:43:00,Clothing,-1,⚠️ High transaction amount; 📍 High-risk location
1831,7821.08,Kolkata,Tablet,2024-11-04 09:22:00,Utilities,-1,⚠️ High transaction amount; 📱 Less secure device type
1865,8355.85,Kolkata,Desktop,2024-05-14 11:10:00,Electronics,-1,⚠️ High transaction amount; 🛒 Sensitive merchant category
1890,9609.67,Bangalore,Mobile,2024-01-04 17:36:00,Utilities,-1,⚠️ High transaction amount; 📱 Less secure device type
1907,6343.67,Bangalore,Desktop,2024-12-08 06:50:00,Utilities,-1,⚠️ High transaction amount
1913,11217.49,Delhi,Tablet,2024-07-14 11:38:00,Travel,-1,⚠️ High transaction amount; 📍 High-risk location; 📱 Less secure device type; 🛒 Sensitive merchant category
1955,12810.95,Bangalore,Desktop,2024-02-16 04:06:00,Electronics,-1,⚠️ High transaction amount; 🛒 Sensitive merchant category
1997,6275.27,Hyderabad,Tablet,2024-11-02 20:23:00,Clothing,-1,⚠️ High transaction amount; 📱 Less secure device type; 🌙 Unusual transaction time
2021,6615.11,Delhi,Tablet,2024-10-17 09:54:00,Clothing,-1,⚠️ High transaction amount; 📍 High-risk location; 📱 Less secure device type
2028,7958.15,Mumbai,Tablet,2024-12-26 21:43:00,Grocery,-1,⚠️ High transaction amount; 📍 High-risk location; 📱 Less secure device type
2034,7151.48,Chennai,Tablet,2024-02-17 12:56:00,Utilities,-1,⚠️ High transaction amount; 📱 Less secure device type
2079,8398.03,Kolkata,Mobile,2024-03-31 02:45:00,Electronics,-1,⚠️ High transaction amount; 📱 Less secure device type; 🛒 Sensitive merchant category
2092,6675.13,Chennai,Tablet,2024-03-12 23:34:00,Travel,-1,⚠️ High transaction amount; 📱 Less secure device type; 🛒 Sensitive merchant category; 🌙 Unusual transaction time
2110,8211.39,Bangalore,Desktop,2024-11-27 00:15:00,Travel,-1,⚠️ High transaction amount; 🛒 Sensitive merchant category; 🌙 Unusual transaction time
2123,6830.18,Kolkata,Tablet,2024-09-10 21:00:00,Utilities,-1,⚠️ High transaction amount; 📱 Less secure device type; 🌙 Unusual transaction time
2125,8284.17,Mumbai,Tablet,2024-12-02 18:05:00,Utilities,-1,⚠️ High transaction amount; 📍 High-risk location; 📱 Less secure device type
2166,7736.48,Mumbai,Tablet,2024-02-20 15:28:00,Utilities,-1,⚠️ High transaction amount; 📍 High-risk location; 📱 Less secure device type
2201,7527.23,Hyderabad,Desktop,2024-01-26 06:57:00,Utilities,-1,⚠️ High transaction amount
2214,6583.45,Delhi,Desktop,2024-02-15 06:34:00,Utilities,-1,⚠️ High transaction amount; 📍 High-risk location
2244,10779.78,Chennai,Mobile,2024-06-01 16:37:00,Clothing,-1,⚠️ High transaction amount; 📱 Less secure device type
2275,6012.82,Hyderabad,Mobile,2024-03-26 00:32:00,Utilities,-1,⚠️ High transaction amount; 📱 Less secure device type; 🌙 Unusual transaction time
2287,7118.0,Bangalore,Tablet,2024-06-11 10:51:00,Utilities,-1,⚠️ High transaction amount; 📱 Less secure device type
2315,9872.03,Mumbai,Mobile,2024-06-23 01:56:00,Grocery,-1,⚠️ High transaction amount; 📍 High-risk location; 📱 Less secure device type
2326,6204.88,Kolkata,Tablet,2024-05-11 13:12:00,Utilities,-1,⚠️ High transaction amount; 📱 Less secure device type
2409,8851.7,Mumbai,Tablet,2024-12-22 17:02:00,Utilities,-1,⚠️ High transaction amount; 📍 High-risk location; 📱 Less secure device type
2416,6649.44,Delhi,Tablet,2024-03-16 15:26:00,Travel,-1,⚠️ High transaction amount; 📍 High-risk location; 📱 Less secure device type; 🛒 Sensitive merchant category
2428,6243.45,Kolkata,Desktop,2024-10-20 13:23:00,Utilities,-1,⚠️ High transaction amount; 🌙 Unusual transaction time
2433,8271.98,Chennai,Mobile,2024-08-23 23:58:00,Utilities,-1,⚠️ High transaction amount; 📱 Less secure device type; 🌙 Unusual transaction time
2435,6495.35,Kolkata,Desktop,2024-02-22 02:06:00,Electronics,-1,⚠️ High transaction amount; 🛒 Sensitive merchant category
2452,6787.49,Bangalore,Mobile,2024-08-09 16:10:00,Clothing,-1,⚠️ High transaction amount; 📱 Less secure device type
2461,10182.08,Hyderabad,Tablet,2024-09-29 06:56:00,Clothing,-1,⚠️ High transaction amount; 📱 Less secure device type
2472,6650.08,Kolkata,Mobile,2024-08-10 19:47:00,Clothing,-1,⚠️ High transaction amount; 📱 Less secure device type
2486,7925.3,Bangalore,Mobile,2024-05-14 02:59:00,Grocery,-1,⚠️ High transaction amount; 📱 Less secure device type
2499,7899.38,Chennai,Mobile,2024-07-17 09:35:00,Clothing,-1,⚠️ High transaction amount; 📱 Less secure device type
2504,6249.28,Delhi,Desktop,2024-06-07 03:06:00,Travel,-1,⚠️ High transaction amount; 📍 High-risk location; 🛒 Sensitive merchant category
2528,6314.06,Chennai,Mobile,2024-03-02 23:56:00,Grocery,-1,⚠️ High transaction amount; 📱 Less secure device type; 🌙 Unusual transaction time
2530,12257.65,Bangalore,Mobile,2024-03-27 17:53:00,Utilities,-1,⚠️ High transaction amount; 📱 Less secure device type
2556,6207.31,Kolkata,Tablet,2024-05-28 22:06:00,Electronics,-1,⚠️ High transaction amount; 📱 Less secure device type; 🛒 Sensitive merchant category
2577,7724.67,Hyderabad,Mobile,2024-09-19 04:05:00,Clothing,-1,⚠️ High transaction amount; 📱 Less secure device type
2626,6652.83,Delhi,Desktop,2024-09-01 02:55:00,Utilities,-1,⚠️ High transaction amount; 📍 High-risk location
2637,6765.59,Chennai,Mobile,2024-02-11 05:54:00,Travel,-1,⚠️ High transaction amount; 📱 Less secure device type; 🛒 Sensitive merchant category
2639,6022.61,Bangalore,Tablet,2024-07-07 20:38:00,Travel,-1,⚠️ High transaction amount; 📱 Less secure device type; 🛒 Sensitive merchant category
2647,6283.82,Hyderabad,Desktop,2024-11-12 04:53:00,Electronics,-1,⚠️ High transaction amount; 🛒 Sensitive merchant category
2695,6620.84,Hyderabad,Tablet,2024-10-09 09:14:00,Utilities,-1,⚠️ High transaction amount; 📱 Less secure device type
2702,7460.56,Mumbai,Desktop,2024-05-28 18:18:00,Grocery,-1,⚠️ High transaction amount; 📍 High-risk location
2718,7314.33,Kolkata,Tablet,2024-02-10 02:38:00,Electronics,-1,⚠️ High transaction amount; 📱 Less secure device type; 🛒 Sensitive merchant category
2734,6330.19,Delhi,Mobile,2024-05-05 21:58:00,Travel,-1,⚠️ High transaction amount; 📍 High-risk location; 📱 Less secure device type; 🛒 Sensitive merchant category
2737,9495.29,Mumbai,Tablet,2024-02-17 01:17:00,Clothing,-1,⚠️ High transaction amount; 📍 High-risk location; 📱 Less secure device type
2739,6581.19,Delhi,Desktop,2024-11-21 01:12:00,Clothing,-1,⚠️ High transaction amount; 📍 High-risk location
2766,6337.04,Kolkata,Mobile,2024-10-18 11:37:00,Utilities,-1,⚠️ High transaction amount; 📱 Less secure device type
2783,7947.0,Kolkata,Desktop,2024-05-18 12:31:00,Utilities,-1,⚠️ High transaction amount
2787,6469.35,Chennai,Tablet,2024-11-17 16:52:00,Electronics,-1,⚠️ High transaction amount; 📱 Less secure device type; 🛒 Sensitive merchant category
2789,6049.49,Chennai,Desktop,2024-02-01 22:32:00,Utilities,-1,⚠️ High transaction amount
2790,10525.63,Delhi,Tablet,2024-08-05 14:43:00,Electronics,-1,⚠️ High transaction amount; 📍 High-risk location; 📱 Less secure device type; 🛒 Sensitive merchant category
2792,7941.82,Delhi,Mobile,2024-01-01 17:05:00,Electronics,-1,⚠️ High transaction amount; 📍 High-risk location; 📱 Less secure device type; 🛒 Sensitive merchant category
2799,7945.44,Mumbai,Desktop,2024-06-03 06:46:00,Electronics,-1,⚠️ High transaction amount; 📍 High-risk location; 🛒 Sensitive merchant category
2804,6444.54,Kolkata,Mobile,2024-03-16 11:08:00,Grocery,-1,⚠️ High transaction amount; 📱 Less secure device type
2806,7571.48,Chennai,Mobile,2024-12-04 19:55:00,Electronics,-1,⚠️ High transaction amount; 📱 Less secure device type; 🛒 Sensitive merchant category
2837,9997.91,Hyderabad,Desktop,2024-08-22 07:14:00,Clothing,-1,⚠️ High transaction amount
2844,6028.96,Delhi,Desktop,2024-06-07 16:03:00,Clothing,-1,⚠️ High transaction amount; 📍 High-risk location
2863,6009.92,Delhi,Mobile,2024-12-01 15:57:00,Grocery,-1,⚠️ High transaction amount; 📍 High-risk location; 📱 Less secure device type
2907,7229.64,Bangalore,Tablet,2024-11-19 01:41:00,Grocery,-1,⚠️ High transaction amount; 📱 Less secure device type
2914,6813.15,Bangalore,Mobile,2024-06-14 07:23:00,Electronics,-1,⚠️ High transaction amount; 📱 Less secure device type; 🛒 Sensitive merchant category; 🌙 Unusual transaction time
2928,8380.62,Mumbai,Desktop,2024-08-06 04:28:00,Electronics,-1,⚠️ High transaction amount; 📍 High-risk location; 🛒 Sensitive merchant category
2939,6082.37,Kolkata,Tablet,2024-10-18 13:40:00,Grocery,-1,⚠️ High transaction amount; 📱 Less secure device type
2964,7681.78,Chennai,Tablet,2024-05-13 23:55:00,Grocery,-1,⚠️ High transaction amount; 📱 Less secure device type; 🌙 Unusual transaction time
2980,7030.33,Mumbai,Tablet,2024-02-03 12:55:00,Electronics,-1,⚠️ High transaction amount; 📍 High-risk location; 📱 Less secure device type; 🛒 Sensitive merchant category
2986,6824.63,Bangalore,Tablet,2024-10-16 17:41:00,Travel,-1,⚠️ High transaction amount; 📱 Less secure device type; 🛒 Sensitive merchant category
3038,7861.26,Chennai,Mobile,2024-02-03 06:39:00,Clothing,-1,⚠️ High transaction amount; 📱 Less secure device type
3042,7058.74,Hyderabad,Desktop,2024-12-13 16:56:00,Grocery,-1,⚠️ High transaction amount
3056,6917.91,Chennai,Desktop,2024-10-30 15:33:00,Electronics,-1,⚠️ High transaction amount; 🛒 Sensitive merchant category
3060,6049.22,Mumbai,Mobile,2024-10-05 08:36:00,Utilities,-1,⚠️ High transaction amount; 📍 High-risk location; 📱 Less secure device type
3068,6705.69,Delhi,Tablet,2024-06-09 05:34:00,Clothing,-1,⚠️ High transaction amount; 📍 High-risk location; 📱 Less secure device type
3092,6320.32,Bangalore,Tablet,2024-07-24 09:32:00,Utilities,-1,⚠️ High transaction amount; 📱 Less secure device type
3097,7545.13,Bangalore,Desktop,2024-04-24 03:09:00,Clothing,-1,⚠️ High transaction amount
3129,6052.0,Kolkata,Mobile,2024-01-29 05:14:00,Electronics,-1,⚠️ High transaction amount; 📱 Less secure device type; 🛒 Sensitive merchant category
3193,6107.36,Bangalore,Tablet,2024-02-09 07:48:00,Travel,-1,⚠️ High transaction amount; 📱 Less secure device type; 🛒 Sensitive merchant category
3238,6430.9,Kolkata,Tablet,2024-03-28 06:38:00,Travel,-1,⚠️ High transaction amount; 📱 Less secure device type; 🛒 Sensitive merchant category
3295,6888.16,Hyderabad,Tablet,2024-10-06 20:07:00,Clothing,-1,⚠️ High transaction amount; 📱 Less secure device type
3302,11743.71,Hyderabad,Desktop,2024-10-25 22:34:00,Grocery,-1,⚠️ High transaction amount
3396,11123.35,Chennai,Mobile,2024-07-12 13:30:00,Travel,-1,⚠️ High transaction amount; 📱 Less secure device type; 🛒 Sensitive merchant category
3403,13611.5,Kolkata,Mobile,2024-01-14 23:54:00,Travel,-1,⚠️ High transaction amount; 📱 Less secure device type; 🛒 Sensitive merchant category; 🌙 Unusual transaction time
3408,12088.29,Bangalore,Mobile,2024-02-13 00:08:00,Grocery,-1,⚠️ High transaction amount; 📱 Less secure device type; 🌙 Unusual transaction time
3432,9351.0,Chennai,Desktop,2024-12-15 10:34:00,Clothing,-1,⚠️ High transaction amount
3444,10866.49,Bangalore,Mobile,2024-10-09 16:55:00,Clothing,-1,⚠️ High transaction amount; 📱 Less secure device type
3445,7939.08,Chennai,Mobile,2024-06-16 04:44:00,Grocery,-1,⚠️ High transaction amount; 📱 Less secure device type
3477,6484.3,Mumbai,Desktop,2024-07-09 04:19:00,Travel,-1,⚠️ High transaction amount; 📍 High-risk location; 🛒 Sensitive merchant category
3503,11783.53,Kolkata,Desktop,2024-07-21 06:39:00,Electronics,-1,⚠️ High transaction amount; 🛒 Sensitive merchant category
3507,7252.38,Delhi,Tablet,2024-12-24 03:22:00,Electronics,-1,⚠️ High transaction amount; 📍 High-risk location; 📱 Less secure device type; 🛒 Sensitive merchant category
3513,7405.4,Delhi,Desktop,2024-08-30 03:59:00,Grocery,-1,⚠️ High transaction amount; 📍 High-risk location
3527,7229.53,Bangalore,Desktop,2024-01-04 16:22:00,Travel,-1,⚠️ High transaction amount; 🛒 Sensitive merchant category
3529,6869.19,Bangalore,Mobile,2024-08-18 02:40:00,Travel,-1,⚠️ High transaction amount; 📱 Less secure device type; 🛒 Sensitive merchant category
3574,9103.47,Bangalore,Desktop,2024-02-26 17:22:00,Utilities,-1,⚠️ High transaction amount
3591,6050.11,Bangalore,Mobile,2024-01-03 03:38:00,Electronics,-1,⚠️ High transaction amount; 📱 Less secure device type; 🛒 Sensitive merchant category
3610,7008.22,Delhi,Desktop,2024-09-28 17:56:00,Clothing,-1,⚠️ High transaction amount; 📍 High-risk location
3650,15447.06,Bangalore,Mobile,2024-04-12 07:00:00,Utilities,-1,⚠️ High transaction amount; 📱 Less secure device type; 🌙 Unusual transaction time
3697,6513.8,Chennai,Desktop,2024-02-08 13:04:00,Electronics,-1,⚠️ High transaction amount; 🛒 Sensitive merchant category
3710,6613.25,Hyderabad,Tablet,2024-03-06 09:47:00,Travel,-1,⚠️ High transaction amount; 📱 Less secure device type; 🛒 Sensitive merchant category
3715,9232.23,Mumbai,Desktop,2024-04-16 09:40:00,Clothing,-1,⚠️ High transaction amount; 📍 High-risk location
3732,6888.82,Hyderabad,Mobile,2024-06-04 07:43:00,Clothing,-1,⚠️ High transaction amount; 📱 Less secure device type
3790,7881.69,Chennai,Desktop,2024-11-01 11:06:00,Grocery,-1,⚠️ High transaction amount
